Daily Statistics
      date  total_habits  avg_habits  std_habits  min_habits  max_habits  range_habits  total_habits_score  avg_habits_score  std_habits_score  min_habits_score  max_habits_score  range_habits_score  total_score
2022-12-18           5.0    0.178571    0.611832         0.0         3.0           3.0            1.843580          1.840951          0.788770               NaN          0.289286            0.289286     5.051874
2022-12-19           4.0    0.142857    0.356348         0.0         1.0           1.0            1.962416          1.962169          1.423631               NaN          1.179024            1.179024     7.706264
2022-12-20          15.0    0.535714    0.792658         0.0         2.0           2.0            0.655221          0.628774          0.339429               NaN          0.734155            0.734155     3.091734
2022-12-21           9.0    0.321429    0.475595         0.0         1.0           1.0            1.368236          1.356080          1.127311               NaN          1.179024            1.179024     6.209676
2022-12-22           6.0    0.214286    0.417855         0.0         1.0           1.0            1.724744          1.719733          1.270789               NaN          1.179024            1.179024     7.073315
2022-12-23          40.0    1.428571    3.143819         0.0        16.0          16.0            2.315677          2.401671          5.503056               NaN          5.494010            5.494010    21.208423
2022-12-24          10.0    0.357143    0.558721         0.0         2.0           2.0            1.249401          1.234862          0.920747               NaN          0.734155            0.734155     4.873321
2022-12-25          20.0    0.714286    0.854493         0.0         3.0           3.0            0.061041          0.022685          0.185772               NaN          0.289286            0.289286     0.848071
2022-12-26          12.0    0.428571    0.572750         0.0         2.0           2.0            1.011729          0.992427          0.885887               NaN          0.734155            0.734155     4.358353
2022-12-27           8.0    0.285714    0.534522         0.0         2.0           2.0            1.487072          1.477298          0.980879               NaN          0.734155            0.734155     5.413560
2022-12-28          13.0    0.464286    0.692935         0.0         2.0           2.0            0.892893          0.871209          0.587235               NaN          0.734155            0.734155     3.819647
2022-12-29           9.0    0.321429    0.475595         0.0         1.0           1.0            1.368236          1.356080          1.127311               NaN          1.179024            1.179024     6.209676
2022-12-30          19.0    0.678571    1.218790         0.0         5.0           5.0            0.179877          0.143902          0.719482               NaN          0.600452            0.600452     2.244165
2022-12-31           9.0    0.321429    0.611832         0.0         2.0           2.0            1.368236          1.356080          0.788770               NaN          0.734155            0.734155     4.981397
2023-01-01           6.0    0.214286    0.417855         0.0         1.0           1.0            1.724744          1.719733          1.270789               NaN          1.179024            1.179024     7.073315
2023-01-02          21.0    0.750000    2.066039         0.0        11.0          11.0            0.057795          0.098533          2.824842               NaN          3.269665            3.269665     9.520500
2023-01-03          13.0    0.464286    0.507875         0.0         1.0           1.0            0.892893          0.871209          1.047098               NaN          1.179024            1.179024     5.169248
2023-01-04          13.0    0.464286    0.744468         0.0         3.0           3.0            0.892893          0.871209          0.459178               NaN          0.289286            0.289286     2.801852
2023-01-05          13.0    0.464286    0.637248         0.0         2.0           2.0            0.892893          0.871209          0.725614               NaN          0.734155            0.734155     3.958026
2023-01-06          10.0    0.357143    0.731021         0.0         3.0           3.0            1.249401          1.234862          0.492593               NaN          0.289286            0.289286     3.555429
2023-01-07          33.0    1.137931    1.407230         0.0         7.0           7.0            1.483826          1.415209          1.187743               NaN          1.490189            1.490189     7.067156
2023-01-08          18.0    0.620690    0.561490         0.0         2.0           2.0            0.298713          0.340359          0.913867               NaN          0.734155            0.734155     3.021250
2023-01-09          18.0    0.620690    1.265300         0.0         5.0           5.0            0.298713          0.340359          0.835057               NaN          0.600452            0.600452     2.675032
2023-01-10          36.0    1.200000    1.540264         0.0         8.0           8.0            1.840333          1.625877          1.518325               NaN          1.935058            1.935058     8.854651
2023-01-11          25.0    0.833333    1.085431         0.0         4.0           4.0            0.533138          0.381374          0.388094               NaN          0.155583            0.155583     1.613772
2023-01-12          24.0    0.800000    0.846901         0.0         3.0           3.0            0.414302          0.268238          0.204638               NaN          0.289286            0.289286     1.465751
2023-01-13          27.0    0.900000    0.661764         0.0         2.0           2.0            0.770810          0.607648          0.664693               NaN          0.734155            0.734155     3.511462
2023-01-14          24.0    0.800000    0.761124         0.0         3.0           3.0            0.414302          0.268238          0.417788               NaN          0.289286            0.289286     1.678901
2023-01-15          22.0    0.733333    0.980265         0.0         4.0           4.0            0.176630          0.041965          0.126762               NaN          0.155583            0.155583     0.656523
2023-01-16          25.0    0.833333    0.985527         0.0         3.0           3.0            0.533138          0.381374          0.139839               NaN          0.289286            0.289286     1.632925
2023-01-17          15.0    0.500000    0.508548         0.0         1.0           1.0            0.655221          0.749991          1.045425               NaN          1.179024            1.179024     4.808686
2023-01-18          14.0    0.466667    0.507416         0.0         1.0           1.0            0.774057          0.863128          1.048236               NaN          1.179024            1.179024     5.043470
2023-01-19          16.0    0.533333    0.628810         0.0         2.0           2.0            0.536385          0.636855          0.746580               NaN          0.734155            0.734155     3.388131
2023-01-20          17.0    0.566667    0.568321         0.0         2.0           2.0            0.417549          0.523718          0.896893               NaN          0.734155            0.734155     3.306471
2023-01-21          12.0    0.400000    0.770132         0.0         3.0           3.0            1.011729          1.089401          0.395404               NaN          0.289286            0.289286     3.075107
2023-01-22          24.0    0.800000    0.761124         0.0         2.0           2.0            0.414302          0.268238          0.417788               NaN          0.734155            0.734155     2.568639
2023-01-23          36.0    1.200000    1.186127         0.0         4.0           4.0            1.840333          1.625877          0.638316               NaN          0.155583            0.155583     4.415691
2023-01-24          23.0    0.766667    0.935261         0.0         4.0           4.0            0.295466          0.155101          0.014930               NaN          0.155583            0.155583     0.776663
2023-01-25          25.0    0.833333    0.791478         0.0         3.0           3.0            0.533138          0.381374          0.342362               NaN          0.289286            0.289286     1.835448
2023-01-26          24.0    0.800000    0.924755         0.0         4.0           4.0            0.414302          0.268238          0.011176               NaN          0.155583            0.155583     1.004881
2023-01-27          35.0    1.166667    1.487496         0.0         5.0           5.0            1.721497          1.512740          1.387198               NaN          0.600452            0.600452     5.822339
2023-01-28          30.0    1.000000    0.909718         0.0         3.0           3.0            1.127318          0.947057          0.048543               NaN          0.289286            0.289286     2.701491
2023-01-29          26.0    0.838710    0.860108         0.0         3.0           3.0            0.651974          0.399622          0.171821               NaN          0.289286            0.289286     1.801990
2023-01-30          34.0    1.096774    1.398924         0.0         5.0           5.0            1.602661          1.275518          1.167104               NaN          0.600452            0.600452     5.246187
2023-01-31          30.0    0.967742    1.079626         0.0         5.0           5.0            1.127318          0.837570          0.373667               NaN          0.600452            0.600452     3.539458
2023-02-01          36.0    1.161290    1.392762         0.0         6.0           6.0            1.840333          1.494492          1.151790               NaN          1.045320            1.045320     6.577257
2023-02-02          41.0    1.281250    1.396641         0.0         5.0           5.0            2.434513          1.901647          1.161429               NaN          0.600452            0.600452     6.698492
2023-02-03          26.0    0.812500    1.378112         0.0         5.0           5.0            0.651974          0.310664          1.115388               NaN          0.600452            0.600452     3.278929
2023-02-04          20.0    0.625000    0.751343         0.0         3.0           3.0            0.061041          0.325729          0.442094               NaN          0.289286            0.289286     1.407438
2023-02-05          10.0    0.312500    0.535061         0.0         2.0           2.0            1.249401          1.386385          0.979541               NaN          0.734155            0.734155     5.083637
2023-02-06           8.0    0.250000    0.508001         0.0         2.0           2.0            1.487072          1.598516          1.046785               NaN          0.734155            0.734155     5.600683
2023-02-07          17.0    0.531250    0.915260         0.0         3.0           3.0            0.417549          0.643926          0.034770               NaN          0.289286            0.289286     1.674817
2023-02-08          28.0    0.875000    1.453583         0.0         6.0           6.0            0.889646          0.522795          1.302927               NaN          1.045320            1.045320     4.806009
2023-02-09          20.0    0.625000    0.906962         0.0         3.0           3.0            0.061041          0.325729          0.055390               NaN          0.289286            0.289286     1.020733
2023-02-10          14.0    0.437500    0.618922         0.0         2.0           2.0            0.774057          0.962122          0.771152               NaN          0.734155            0.734155     3.975642
2023-02-11          25.0    0.781250    1.184153         0.0         6.0           6.0            0.533138          0.204599          0.633410               NaN          1.045320            1.045320     3.461788
2023-02-12          21.0    0.656250    1.035168         0.0         4.0           4.0            0.057795          0.219664          0.263193               NaN          0.155583            0.155583     0.851816
2023-02-13          32.0    1.000000    1.813925         0.0        10.0          10.0            1.364990          0.947057          2.198353               NaN          2.824796            2.824796    10.159993
2023-02-14          26.0    0.812500    0.820602         0.0         3.0           3.0            0.651974          0.310664          0.269991               NaN          0.289286            0.289286     1.811202
2023-02-15          11.0    0.343750    0.482559         0.0         1.0           1.0            1.130565          1.280319          1.110006               NaN          1.179024            1.179024     5.878938
2023-02-16          20.0    0.625000    0.707107         0.0         2.0           2.0            0.061041          0.325729          0.552018               NaN          0.734155            0.734155     2.407099
2023-02-17          21.0    0.656250    0.653002         0.0         2.0           2.0            0.057795          0.219664          0.686466               NaN          0.734155            0.734155     2.432235
2023-02-18          17.0    0.531250    0.621360         0.0         2.0           2.0            0.417549          0.643926          0.765093               NaN          0.734155            0.734155     3.294878
2023-02-19          16.0    0.500000    0.567962         0.0         2.0           2.0            0.536385          0.749991          0.897785               NaN          0.734155            0.734155     3.652472
2023-02-20          27.0    0.843750    1.050633         0.0         4.0           4.0            0.770810          0.416730          0.301624               NaN          0.155583            0.155583     1.800328
2023-02-21          19.0    0.593750    0.837021         0.0         3.0           3.0            0.179877          0.431795          0.229189               NaN          0.289286            0.289286     1.419433
2023-02-22          18.0    0.562500    1.075759         0.0         5.0           5.0            0.298713          0.537860          0.364060               NaN          0.600452            0.600452     2.401536
2023-02-23          16.0    0.500000    0.622171         0.0         2.0           2.0            0.536385          0.749991          0.763078               NaN          0.734155            0.734155     3.517765
2023-02-24          14.0    0.437500    0.618922         0.0         2.0           2.0            0.774057          0.962122          0.771152               NaN          0.734155            0.734155     3.975642
2023-02-25          17.0    0.531250    0.717719         0.0         3.0           3.0            0.417549          0.643926          0.525647               NaN          0.289286            0.289286     2.165695
2023-02-26           9.0    0.281250    0.522671         0.0         2.0           2.0            1.368236          1.492450          1.010328               NaN          0.734155            0.734155     5.339325
2023-02-27          29.0    0.906250    1.613639         0.0         8.0           8.0            1.008482          0.628861          1.700656               NaN          1.935058            1.935058     7.208115
2023-02-28          20.0    0.625000    0.659912         0.0         2.0           2.0            0.061041          0.325729          0.669294               NaN          0.734155            0.734155     2.524375
2023-03-01          22.0    0.687500    0.644455         0.0         2.0           2.0            0.176630          0.113598          0.707703               NaN          0.734155            0.734155     2.466242
2023-03-02          28.0    0.875000    1.263635         0.0         6.0           6.0            0.889646          0.522795          0.830920               NaN          1.045320            1.045320     4.334002
2023-03-03          27.0    0.843750    0.919655         0.0         3.0           3.0            0.770810          0.416730          0.023848               NaN          0.289286            0.289286     1.789961
2023-03-04          24.0    0.750000    0.842424         0.0         4.0           4.0            0.414302          0.098533          0.215765               NaN          0.155583            0.155583     1.039765
2023-03-05          24.0    0.750000    0.983739         0.0         4.0           4.0            0.414302          0.098533          0.135394               NaN          0.155583            0.155583     0.959395
2023-03-06          12.0    0.375000    0.491869         0.0         1.0           1.0            1.011729          1.174253          1.086869               NaN          1.179024            1.179024     5.630900
2023-03-07          18.0    0.562500    0.715609         0.0         2.0           2.0            0.298713          0.537860          0.530890               NaN          0.734155            0.734155     2.835774
